
Minimum time:  1461	(0.37327 ms)

Test #		Time
867:		1477	(0.377357 ms)
868:		1480	(0.378124 ms)
869:		1475	(0.376846 ms)
870:		1481	(0.378379 ms)
871:		1486	(0.379657 ms)
872:		1485	(0.379401 ms)
873:		1478	(0.377613 ms)
874:		1483	(0.37889 ms)
875:		1492	(0.38119 ms)
876:		1495	(0.381956 ms)
877:		1495	(0.381956 ms)
878:		1481	(0.378379 ms)
879:		1496	(0.382212 ms)
880:		1566	(0.400096 ms)
881:		1510	(0.385788 ms)
882:		1483	(0.37889 ms)
883:		1504	(0.384256 ms)
884:		1519	(0.388088 ms)
885:		1477	(0.377357 ms)
886:		1469	(0.375313 ms)
887:		1482	(0.378635 ms)
888:		1478	(0.377613 ms)
889:		1481	(0.378379 ms)
890:		1483	(0.37889 ms)
891:		1498	(0.382723 ms)
892:		1490	(0.380679 ms)
893:		1490	(0.380679 ms)
894:		1490	(0.380679 ms)
895:		1486	(0.379657 ms)
896:		1494	(0.381701 ms)
897:		1490	(0.380679 ms)
898:		1514	(0.38681 ms)
899:		1498	(0.382723 ms)
900:		1507	(0.385022 ms)
901:		1490	(0.380679 ms)
902:		1482	(0.378635 ms)
903:		1477	(0.377357 ms)
904:		1490	(0.380679 ms)
905:		1495	(0.381956 ms)
906:		1528	(0.390387 ms)
907:		1485	(0.379401 ms)
908:		1484	(0.379146 ms)
909:		1504	(0.384256 ms)
910:		1497	(0.382467 ms)
911:		1481	(0.378379 ms)
912:		1508	(0.385277 ms)
913:		1489	(0.380423 ms)
914:		1483	(0.37889 ms)
915:		1482	(0.378635 ms)
916:		1494	(0.381701 ms)
917:		1513	(0.386555 ms)
918:		1482	(0.378635 ms)
919:		1488	(0.380168 ms)
920:		1488	(0.380168 ms)
921:		1497	(0.382467 ms)
922:		1490	(0.380679 ms)
923:		1496	(0.382212 ms)
924:		1482	(0.378635 ms)
925:		1485	(0.379401 ms)
926:		1490	(0.380679 ms)
927:		1494	(0.381701 ms)
928:		1485	(0.379401 ms)
929:		1527	(0.390132 ms)
930:		1476	(0.377102 ms)
931:		1478	(0.377613 ms)
932:		1474	(0.376591 ms)
933:		1492	(0.38119 ms)
934:		1501	(0.383489 ms)
935:		1543	(0.39422 ms)
936:		1483	(0.37889 ms)
937:		1512	(0.386299 ms)
938:		1483	(0.37889 ms)
939:		1512	(0.386299 ms)
940:		1476	(0.377102 ms)
941:		1486	(0.379657 ms)
942:		1503	(0.384 ms)
943:		1489	(0.380423 ms)
944:		1484	(0.379146 ms)
945:		1475	(0.376846 ms)
946:		1480	(0.378124 ms)
947:		1477	(0.377357 ms)
948:		1480	(0.378124 ms)
949:		1477	(0.377357 ms)
950:		1483	(0.37889 ms)
951:		1483	(0.37889 ms)
952:		1493	(0.381445 ms)
953:		1497	(0.382467 ms)
954:		1499	(0.382978 ms)
955:		1499	(0.382978 ms)
956:		1500	(0.383234 ms)
957:		1480	(0.378124 ms)
958:		1492	(0.38119 ms)
959:		1499	(0.382978 ms)
960:		1486	(0.379657 ms)
961:		1488	(0.380168 ms)
962:		1527	(0.390132 ms)
963:		1503	(0.384 ms)
964:		1493	(0.381445 ms)
965:		1487	(0.379912 ms)
966:		1493	(0.381445 ms)
967:		1497	(0.382467 ms)
968:		1896	(0.484407 ms)
969:		2405	(0.614451 ms)
970:		1800	(0.45988 ms)
971:		1502	(0.383745 ms)
972:		1477	(0.377357 ms)
973:		1470	(0.375569 ms)
974:		1484	(0.379146 ms)
975:		1498	(0.382723 ms)
976:		1492	(0.38119 ms)
977:		1482	(0.378635 ms)
978:		1481	(0.378379 ms)
979:		1483	(0.37889 ms)
980:		1501	(0.383489 ms)
981:		1485	(0.379401 ms)
982:		1487	(0.379912 ms)
983:		1492	(0.38119 ms)
984:		1497	(0.382467 ms)
985:		1484	(0.379146 ms)
986:		1489	(0.380423 ms)
987:		1488	(0.380168 ms)
988:		1513	(0.386555 ms)
989:		1523	(0.38911 ms)
990:		1489	(0.380423 ms)
991:		1491	(0.380934 ms)
992:		1494	(0.381701 ms)
993:		1486	(0.379657 ms)
994:		1487	(0.379912 ms)
995:		1499	(0.382978 ms)
996:		1491	(0.380934 ms)
997:		1485	(0.379401 ms)
998:		1485	(0.379401 ms)
999:		1500	(0.383234 ms)
1000:		1491	(0.380934 ms)
